scenarioId_A,scenarioId_B,graphEditDistance,entityPositionDistance,jaccardRoomConnectivity,roleDistributionDistance,depthProfileDistance,doorStateDistance,furnitureCountDistance
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,d33f54a2-04be-4ddf-a932-257726c5ba45,0.0000,1.4790,1.0000,0.0000,0.0000,0.0000,0.0000
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,81e95390-a08c-4c32-874a-b5e8a480db8b,0.0000,6.4956,1.0000,0.0000,0.0000,0.0000,0.1200
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,822d2d7b-26f6-4792-b0c0-e12d1539680d,0.0000,14.2723,1.0000,0.0000,0.0000,0.6667,0.0909
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,2d9b2d41-ad5a-434a-83ba-06a066c79187,2.0000,8.9350,0.5000,2.0000,2.0000,0.6667,0.2667
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,efc2921a-beff-435b-a8d6-3ba997f3695f,2.0000,12.0037,0.5000,2.0000,2.0000,0.6667,0.1852
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,f31bcd1e-36c2-41fb-a0e6-4c4ca364699a,0.0000,13.9795,1.0000,0.0000,0.0000,0.6667,0.0455
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,5e082587-4d94-4d58-97b7-6e3c3eb1ddae,0.0000,8.8905,1.0000,0.0000,0.0000,0.0000,0.0435
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,bea258d2-99c3-4e01-93ff-a2f0c8383986,0.0000,3.8556,1.0000,0.0000,0.0000,0.0000,0.0833
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,c1dc3dfc-38d8-4c78-b921-02c2af7fa64c,2.0000,9.1859,0.5000,2.0000,2.0000,0.6667,0.1852
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,ef9ce2e6-61f7-40f9-9983-3d6b566c76a0,2.0000,11.3572,0.5000,2.0000,2.0000,0.6667,0.1538
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,b3f89901-90e1-41c7-8128-d7df953fcd16,2.0000,11.7308,0.5000,2.0000,2.0000,0.6667,0.1852
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,60159ef5-b436-4987-b518-fb7784d75295,0.0000,2.0753,1.0000,0.0000,0.0000,0.0000,0.0909
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,136b309a-3b88-4ba0-a930-08fcb3a43e10,0.0000,0.9812,1.0000,0.0000,0.0000,0.0000,0.0435
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,14a7780e-4a88-4380-ac25-a5ac86cae5f8,0.0000,14.6110,1.0000,0.0000,0.0000,0.6667,0.1200
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,a8f6ffa1-96ae-4a1c-a5f2-b42e86d8b134,2.0000,14.6844,0.5000,2.0000,2.0000,0.0000,0.2143
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,5562fe35-4fea-4bad-8b73-095ca7b233bf,0.0000,14.0494,1.0000,0.0000,0.0000,0.6667,0.0455
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,d6419248-aa52-4902-b7f2-752b9213f72a,2.0000,8.9740,0.5000,2.0000,2.0000,0.6667,0.2414
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,850b4382-6847-469f-800c-83f54a788322,2.0000,14.0185,0.5000,2.0000,2.0000,0.6667,0.1538
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,8a1d116e-336e-4047-a8f2-f8d1ad381ec5,0.0000,12.2206,1.0000,0.0000,0.0000,0.6667,0.1200
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,4449d07e-de4e-4e14-91c5-12d6c6243783,0.0000,17.5463,1.0000,0.0000,0.0000,0.6667,0.0455
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,96382cd9-0225-4c6a-83a7-8102d81f4a9f,0.0000,14.5381,1.0000,0.0000,0.0000,0.0000,0.0833
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,48852052-2ff7-40bc-95f5-2447c238356b,2.0000,9.1538,0.5000,2.0000,2.0000,0.6667,0.2414
