difficultyBatch,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.6248,0.5000,15.3647,14.7701,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0675,4,branching,medium,single,4,3,dispersed,medium,1,medium,359620170,984a917e-e303-43c8-925a-9b888ba5f51a,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.9739,1.0000,2.2029,1.5215,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,28,7.0000,0.1223,4,branching,medium,single,4,3,dispersed,medium,1,medium,852220565,c6a2b6e0-feab-49f3-a9fd-cd8b865d0714,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.9317,1.0000,6.0574,1.7730,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,19,4.7500,0.0863,4,branching,medium,single,4,3,dispersed,medium,1,medium,698264541,c29918f4-8119-4b7d-9f9f-0a7cda56c1de,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.1050,0.5000,9.4448,1.5639,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,23,5.7500,0.0814,4,branching,medium,single,4,3,dispersed,medium,1,medium,174215929,0ff4afc2-4526-48ec-b45c-9807a983b2b5,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.7622,1.0000,6.0332,1.6912,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,18,4.5000,0.0596,4,branching,medium,single,4,3,dispersed,medium,1,medium,863727096,ac801253-f162-48a2-9dab-32cb3fe0a254,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.1811,1.0000,5.5706,1.5791,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,21,5.2500,0.0727,4,branching,medium,single,4,3,dispersed,medium,1,medium,338779500,c37fe1b8-816a-4f24-af0c-6b0b83fef4b0,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.2681,0.5000,12.0154,11.0488,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,22,5.5000,0.0890,4,branching,medium,single,4,3,dispersed,medium,1,medium,330239048,e3358ba7-57d6-4487-a9a9-8dd62743a974,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.3547,1.0000,8.2815,3.4814,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,22,5.5000,0.0730,4,branching,medium,single,4,3,dispersed,medium,1,medium,1032523650,58a2f3be-b413-4192-be4c-da556de4e6aa,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.6815,0.3333,12.2041,1.5203,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,16,4.0000,0.0480,4,branching,medium,single,4,3,dispersed,medium,1,medium,39179861,1d40fc6d-8118-4b09-87c3-80ceb8422604,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.5103,1.0000,5.9835,3.2835,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,18,4.5000,0.0672,4,branching,medium,single,4,3,dispersed,medium,1,medium,680302130,a02cc861-7cfb-4dad-8a66-fb210d942f08,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.3762,1.0000,5.8430,1.6075,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,19,4.7500,0.0947,4,branching,medium,single,4,3,dispersed,medium,1,medium,98430504,b0005095-7b0f-46bf-bbd6-d3194d7b5390,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.7699,0.3333,11.8085,1.7963,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,29,7.2500,0.1325,4,branching,medium,single,4,3,dispersed,medium,1,medium,1651181261,d3850ef3-a871-401c-8539-8ae9c3f9b156,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.8984,0.3333,12.8888,1.5096,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0820,4,branching,medium,single,4,3,dispersed,medium,1,medium,303764718,af29933d-078e-4ee4-9959-b0c59f18183b,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.5379,0.3333,12.6355,1.6475,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,19,4.7500,0.0671,4,branching,medium,single,4,3,dispersed,medium,1,medium,1015128141,0a756b60-ce09-433e-9f4f-2ba0bb00105e,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.8465,0.5000,9.6579,3.2867,0.2500,1.5000,3.0000,0,1,1,1,0.5000,1.6667,16,4.0000,0.0464,4,branching,medium,single,4,3,dispersed,medium,1,medium,1309024450,99d8761d-0f21-423d-ba69-d7d8dae7e052,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.6734,1.0000,5.2785,1.6099,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,26,6.5000,0.0827,4,branching,medium,single,4,3,dispersed,medium,1,medium,1934467273,ace435e4-eb91-41cb-9115-5224bb30acb8,true,,
