withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,15,15,2.0000,7,7,0.0667,3,0,15,0,0.0000,48.0124,0.5238,28.2725,14.1432,1.1020,5.4286,4.0000,1,2,2,1,0.4000,2.6667,43,2.8667,0.0255,15,loop,large,multiple,15,6,deep,medium,2,low,1057461112,9df02807-6382-41a4-b6bc-323a0554b57c,true,,,none,0
false,10,10,2.0000,5,5,0.1000,3,0,10,0,0.0000,11.4572,0.4000,11.2042,5.2624,0.4000,2.0000,3.5000,0,2,1,1,0.5000,2.7500,9,0.9000,0.0185,8,loop,small,multiple,10,4,front_loaded,medium,1,low,1064079600,712a07d7-c661-4b75-b786-3f7cadf71a8e,true,,,none,0
true,4,3,1.5000,3,2,0.0000,3,0,2,1,0.3333,9.9141,0.6667,4.3252,1.8640,0.2222,1.6667,0.0000,0,0,1,1,0.0000,1.5000,4,1.0000,0.0173,3,branching,small,multiple,4,2,deep,low,3,low,523689982,f4cccdc2-074d-4e08-a842-6ab2cea306c8,true,,,none,0
false,15,14,1.8667,5,3,0.0000,1,3,10,1,0.0714,15.9950,0.0000,18.9885,18.9885,0.2500,2.5000,0.0000,0,0,0,1,0.0000,0.0000,101,6.7333,0.0956,15,branching,medium,single,15,1,deep,high,5,medium,1180537835,df2e40b9-9758-4e54-9a7f-91bccc91bb9d,true,,,none,0
false,11,10,1.8182,4,2,0.0000,1,0,9,1,0.1000,11.6024,0.5714,12.6123,4.3767,0.0000,1.0000,4.0000,3,1,2,1,0.2727,1.5714,81,7.3636,0.0637,11,branching,large,single,11,7,front_loaded,low,4,low,1178364144,5d3e4607-03a7-446f-8792-0d539d65c30f,true,,,none,0
false,14,13,1.8571,5,3,0.0000,3,0,12,1,0.0769,15.4778,1.0000,4.7201,1.5764,0.2400,2.6000,3.5000,0,2,1,1,0.2143,2.7500,66,4.7143,0.0630,14,branching,medium,multiple,14,4,clustered,medium,2,low,653522358,a9db3957-975b-4f22-abe4-fce03d686b72,true,,,none,1
false,6,5,1.6667,5,5,0.0000,2,0,4,1,0.2000,45.9124,1.0000,6.5969,3.0778,0.2449,4.5714,3.0000,2,2,1,1,0.3333,1.6667,19,3.1667,0.0253,6,linear,large,multiple,6,6,clustered,medium,3,low,523703684,962008b1-4727-4974-9be1-2f1aaf4b4ac4,true,,,none,0
false,12,11,1.8333,11,11,0.0000,1,0,10,1,0.0909,66.7358,1.0000,1.8043,1.8043,0.0000,11.0000,0.0000,0,0,0,1,0.0000,0.0000,10,0.8333,0.0167,9,linear,small,single,12,1,clustered,low,5,low,1716689212,781d0116-13fb-4bf8-b367-6336dfb65e32,true,,,none,0
false,15,14,1.8667,14,14,0.0000,1,6,7,1,0.0714,24.7261,0.3333,38.7644,35.9440,6.8889,10.3333,4.0000,0,1,0,1,0.2000,2.0000,54,3.6000,0.0300,15,linear,large,single,15,2,deep,high,1,high,439375266,1f0eba1a-f5f2-487a-b6a1-a80c6d94417c,true,,,none,0
false,13,12,1.8462,12,12,0.0000,1,0,11,1,0.0833,64.1629,0.3333,10.8261,1.5941,1.6875,10.7500,4.0000,1,1,0,1,0.2308,1.3333,11,0.8462,0.0174,10,linear,small,single,13,3,deep,high,3,low,102514143,f5b80684-15cd-47c3-aada-a9b19a0006d3,true,,,none,0
