event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
RoomBreached,7,Full,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
RoomBreached,7,NoLOS,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
RoomBreached,7,NoDistance,5.78,0.49,AblationNPC_00,Guard,11.29,1,1.00
RoomBreached,7,NoRole,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
RoomBreached,7,NoState,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
RoomBreached,8,Full,-9.41,-13.75,AblationNPC_00,Guard,14.76,0,1.00
RoomBreached,8,NoLOS,-9.41,-13.75,AblationNPC_00,Guard,14.76,0,1.00
RoomBreached,8,NoDistance,-9.41,-13.75,AblationNPC_00,Guard,14.76,0,1.00
RoomBreached,8,NoRole,-9.41,-13.75,AblationNPC_05,Leader,6.63,1,1.00
RoomBreached,8,NoState,-9.41,-13.75,AblationNPC_06,Guard,12.71,0,0.80
RoomBreached,9,Full,-5.75,2.49,AblationNPC_00,Guard,17.11,0,1.00
RoomBreached,9,NoLOS,-5.75,2.49,AblationNPC_00,Guard,17.11,0,1.00
RoomBreached,9,NoDistance,-5.75,2.49,AblationNPC_00,Guard,17.11,0,1.00
RoomBreached,9,NoRole,-5.75,2.49,AblationNPC_05,Leader,10.02,1,1.00
RoomBreached,9,NoState,-5.75,2.49,AblationNPC_06,Guard,9.86,0,0.80
RoomBreached,10,Full,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
RoomBreached,10,NoLOS,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
RoomBreached,10,NoDistance,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
RoomBreached,10,NoRole,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
RoomBreached,10,NoState,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
RoomBreached,11,Full,1.07,9.16,AblationNPC_03,Guard,10.44,1,0.20
RoomBreached,11,NoLOS,1.07,9.16,AblationNPC_00,Guard,20.32,0,1.00
RoomBreached,11,NoDistance,1.07,9.16,AblationNPC_03,Guard,10.44,1,0.20
RoomBreached,11,NoRole,1.07,9.16,AblationNPC_01,Roamer,14.94,1,0.80
RoomBreached,11,NoState,1.07,9.16,AblationNPC_03,Guard,10.44,1,0.20
RoomBreached,12,Full,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
RoomBreached,12,NoLOS,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
RoomBreached,12,NoDistance,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
RoomBreached,12,NoRole,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
RoomBreached,12,NoState,7.45,-3.46,AblationNPC_03,Guard,3.92,1,0.20
RoomBreached,13,Full,-10.53,-14.21,AblationNPC_00,Guard,15.94,0,1.00
RoomBreached,13,NoLOS,-10.53,-14.21,AblationNPC_00,Guard,15.94,0,1.00
RoomBreached,13,NoDistance,-10.53,-14.21,AblationNPC_00,Guard,15.94,0,1.00
