event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
31,NoState,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
32,Full,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
32,NoLOS,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
32,NoDistance,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
32,NoRole,12.41,12.87,AblationNPC_00,Guard,24.76,1,1.00
32,NoState,12.41,12.87,AblationNPC_04,Roamer,22.76,1,0.10
33,Full,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
33,NoLOS,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
33,NoDistance,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
33,NoRole,-1.16,-3.74,AblationNPC_06,Guard,2.12,1,0.80
33,NoState,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
34,Full,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
34,NoLOS,3.50,-13.67,AblationNPC_01,Roamer,20.57,0,0.80
34,NoDistance,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
34,NoRole,3.50,-13.67,AblationNPC_00,Guard,3.28,1,1.00
34,NoState,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
35,Full,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
35,NoLOS,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
35,NoDistance,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
35,NoRole,-3.82,-10.74,AblationNPC_05,Leader,5.40,1,1.00
35,NoState,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
36,Full,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
36,NoLOS,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
36,NoDistance,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
36,NoRole,-1.89,8.77,AblationNPC_05,Leader,17.16,1,1.00
36,NoState,-1.89,8.77,AblationNPC_04,Roamer,7.95,1,0.10
37,Full,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
